"","faixa_etaria","uf","idade","analfabeto","trabalha","carteira_assinada","responsavel","ensino_medio","ocupacao","salario","motivo_indisp_pre","motivo_indisp_pos","horas_trabalho","ano","motivo_indisp","setor_privado","setor_domestico","setor_publico","setor_empregador","setor_conta_propria","setor_auxiliar_familiar","motivo_dependente","motivo_estudo","motivo_pcd","motivo_idade","motivo_vontade"
"25","menor",51,8.01601729435659,0.126237816132897,0.0777204054312488,0.215670034785489,0.00132823569815389,0.000675172436125773,2.49368273280299,627.963952765693,NA,2.80664370409665,27.1428404305101,2018,2.80664370409665,0.625175479644361,0.0722391202620496,0.00883247543284979,0.0183083762283575,0.0283692091717361,0.247075339260646,0.025814212386339,0.648979012410248,0.0227060467270866,0.19243729499929,0.0153764541508207
"26","menor",52,8.27358864483632,0.10570025275825,0.0700514024509542,0.15472649148901,0.00153161988195486,0.000398105952386528,2.29570721675985,564.167360114778,NA,2.68836756518619,25.8834586466165,2018,2.68836756518619,0.573966968703811,0.105102499839342,0.0986440460124671,0,0.118115802326329,0.104170683118052,0.0167801806987064,0.701154325790601,0.0112483701232489,0.189587974263047,0.0101931692620344
"27","menor",53,8.36097800018625,0.108638272345531,0.0631731736684975,0.17414947016174,0.000644224648157166,0,2.27956869719875,648.640642793876,NA,2.38294387315002,27.5006669630947,2018,2.38294387315002,0.623721654068475,0,0.173521565140062,0,0.0812583370386839,0.121498443752779,0.0175523614759103,0.845663277668473,0.0127741647847873,0.0347751921455363,0.0387683301510996
"28","16 e 17 anos",11,17.546144832435,0.00878056401843606,0.247371299117256,0.364619943491145,0.0351378798531365,0.234387938442309,2.76432360742706,767.622653124038,NA,2.80545864970244,32.8197170645446,2018,2.80545864970244,0.573651635720601,0.0446949602122016,0.0428381962864721,0,0.0601237842617153,0.27869142351901,0.137316408196769,0.527689015273665,0.0492216587024713,0.0548503415320571,0.139837589047521
"29","16 e 17 anos",12,17.5177309090909,0.00261818181818182,0.10368,0.291942797349145,0.0535563636363636,0.290792727272727,3.29035183170112,590.811069717935,NA,2.91937776373973,29.2682263329706,2018,2.91937776373973,0.412948857453754,0.0418933623503808,0.1253173739572,0,0.101378309756982,0.318462096481683,0.118959254579912,0.571107075173721,0.034586228679722,0.0306380290587492,0.0363629185091598
"30","16 e 17 anos",13,17.4919377267052,0.00640839778220915,0.143901962756735,0.114661169801598,0.0263318283756516,0.223240649242294,3.70354504827842,601.644265859151,NA,2.69557202176403,28.0436937041239,2018,2.69557202176403,0.367957950309121,0.0502697571028319,0.0386921990413782,0,0.139509574640517,0.403570518906152,0.126861397479954,0.616426832760596,0.00799148052691867,0.071252147766323,0.0379349226804124
"31","16 e 17 anos",14,17.5449098855768,0.0016696950351127,0.146834945734911,0.226666666666667,0.0270097726268232,0.270146834945735,2.66748232735182,616.630396215257,NA,3.11931778628611,26.9929309407287,2018,3.11931778628611,0.48694942903752,0.0709624796084829,0.12615551930397,0,0.235454051114736,0.0804785209352909,0.0769230769230769,0.553010790114863,0.0306996171249565,0,0.191924817264184
"32","16 e 17 anos",15,17.5328198369639,0.0130706338986016,0.172309798753253,0.25533709020608,0.0157366330601991,0.177337197624727,2.93291762069469,619.795646896998,NA,2.93443843614785,29.881229600039,2018,2.93443843614785,0.54076338481025,0.0417255322258489,0.00968236956204024,0.00688118088371413,0.153553855897111,0.247393676621036,0.0931074092739647,0.583647747342804,0.0480815070079137,0.0387149207041058,0.043759165679157
"33","16 e 17 anos",16,17.5671077504726,0.0103223559844792,0.107327629091633,0.353681267474371,0.012884290120386,0.24412993731967,1.88648148148148,664.523930002108,NA,2.47645398907905,30.4592592592593,2018,2.47645398907905,0.744814814814815,0.0262962962962963,0.0753703703703704,0,0.0581481481481482,0.0953703703703704,0.0967127203430205,0.713379997801151,0.0192399311027229,0.0377102649613369,0.0533220947704035
"34","16 e 17 anos",17,17.5132920401647,0.0136959950755973,0.203247028046012,0.297844175491679,0.0373754472357943,0.26812988112184,2.02758722431216,746.106235201263,NA,3.10578894276138,35.2218042339751,2018,3.10578894276138,0.643874013424799,0.121265766762558,0.0377664675075607,0,0.154680238990927,0.042413513314155,0.0632911392405063,0.546223682926036,0.0237870554163548,0.130975236731639,0.0595489896196024
