"","uf","idade","analfabeto","trabalha","carteira_assinada","responsavel","ensino_medio","ocupacao","salario","motivo_indisp_14","motivo_indisp","horas_trabalho","ano","setor_privado","setor_domestico","setor_publico","setor_empregador","setor_conta_propria","setor_auxiliar_familiar","motivo_dependente","motivo_estudo","motivo_pcd","motivo_idade","motivo_vontade"
"13",26,33.139292905991,0.124360711906827,0.425797460142011,0.571301263781445,0.327080650840742,0.376230209841862,2.65282763946837,1685.44218664342,NA,3.09733214729474,38.5382670935103,2018,0.464367430310409,0.0595951492340303,0.146057532566236,0.0372115430443976,0.27435892825596,0.0184094165889666,1,1,1,1,1
"14",27,32.2912766458578,0.166998994534207,0.338442086007797,0.541620043784967,0.322196317419466,0.286687267514581,2.6235526423765,1439.14626262921,NA,3.43008491108354,37.6665476776629,2018,0.438589364844904,0.0799821516494338,0.188819136714262,0.0206579271294929,0.255798662399475,0.0161527572624323,1,1,1,1,1
"15",28,31.8832244330417,0.136692522529922,0.431312628931529,0.535118085503197,0.324543084611747,0.321698748730667,2.79146348042493,1621.97489908755,NA,3.26032316222929,37.1773132738962,2018,0.428060928898302,0.0620735434507767,0.148576347596832,0.0444781426725119,0.285252373144936,0.0315586642366413,1,1,1,1,1
"16",29,33.2512306663784,0.133688620668361,0.438597217347259,0.495044021027526,0.333077511510461,0.336117708846733,2.74872791473818,1524.06093237298,NA,3.45402251661235,37.3835754071896,2018,0.44670762795931,0.0689276910658814,0.126697925527723,0.037025681548258,0.287878041522059,0.0327630323767696,1,1,1,1,1
"17",31,34.8091368820235,0.0660910663772973,0.545102461738324,0.654728031488595,0.339807473131818,0.390598706742542,2.48265939825681,1940.68887379249,NA,3.07560976234269,39.8522628011822,2018,0.508464863553516,0.0732020902121919,0.118818865033708,0.0511014322716965,0.22354846348233,0.0248642854465577,1,1,1,1,1
"18",32,33.6647867662139,0.0648661598363404,0.527534791283873,0.640507520438061,0.343325554579883,0.410283182859563,2.5841069874415,2071.11144570771,NA,3.00620837329561,39.9701776980954,2018,0.500702547172927,0.0586507046244542,0.116792209023497,0.0458844797262676,0.235631871673021,0.0423381877798338,1,1,1,1,1
"19",33,36.8825883655401,0.0319059219168151,0.50402107811063,0.725886538784984,0.362795587681742,0.495325126001202,2.55943103417462,2534.61769058729,NA,3.06425227680677,40.59167203379,2018,0.477804335753117,0.0726848612700655,0.138590400339966,0.0380062499131221,0.269024141133391,0.00389001159033878,1,1,1,1,1
"20",35,34.9431013675935,0.0413768694116337,0.557849218438909,0.761542973433114,0.339766694351671,0.50146154755735,2.29409373166451,2820.25672032348,NA,3.10464516824353,40.9983472040547,2018,0.573865466729911,0.0654720037381177,0.0854447355299245,0.0543298731414989,0.209696966860699,0.0111909539998494,1,1,1,1,1
"21",41,34.3954750891611,0.0554518534111242,0.562538195730381,0.745134794490665,0.345187946633059,0.41462551072753,2.51795271582166,2392.59211544732,NA,3.10965981932656,40.0253658609257,2018,0.516953298830041,0.057196774323068,0.104705689773045,0.0543416865166275,0.245693250383479,0.0211093001737398,1,1,1,1,1
"22",42,34.7532306529945,0.0389853045934641,0.596833730326172,0.826909565240616,0.353351068306854,0.432453699164993,2.38104799955781,2408.28833058236,NA,3.26734943740457,40.835076919354,2018,0.561828762005802,0.0417646668982098,0.106949292322144,0.0535593436603784,0.214782958533149,0.0211149765803165,1,1,1,1,1
"23",43,36.4328472835316,0.0467770085180311,0.55080269273749,0.753488661658871,0.36530463998621,0.403939934544127,2.57056480141458,2393.22205234282,NA,3.27563531494842,40.8013317076931,2018,0.499288330023787,0.058605561122734,0.118377334550754,0.0523418520211391,0.238755596281004,0.0326313260005812,1,1,1,1,1
"24",50,32.245914427706,0.0619525170962265,0.59561912536533,0.680883333892311,0.331670909589504,0.37640321162788,2.48350442595493,2256.48068545985,NA,3.10094485033447,40.0152186093999,2018,0.487579234485748,0.0777052998186121,0.146261914435062,0.0534082344963201,0.222175990044056,0.012869326720202,1,1,1,1,1
"25",51,32.5323902552536,0.0739050814564094,0.575303337330031,0.685929053526625,0.335859646263035,0.37339244246333,2.55469974238683,2251.70663329456,NA,2.93525710517787,40.4924256390602,2018,0.491742187916923,0.0644293698422786,0.128476686250443,0.0484813679210957,0.246479044065922,0.0203913440033378,1,1,1,1,1
"26",52,33.1840290692973,0.0633005417917479,0.565196659701344,0.635920221845333,0.341667196109462,0.397405970546925,2.53145201585991,2041.63202701688,NA,3.05920376075408,40.5932761333258,2018,0.485832902965286,0.0758935578995803,0.126956876522514,0.0530781600298122,0.248782288088171,0.00945621449463608,1,1,1,1,1
"27",53,33.6651388818324,0.0420680622102685,0.563126932216472,0.740713106017125,0.343579316561347,0.556526871867901,2.42488226895066,3842.42280941297,NA,3.04906392375847,39.9711045777923,2018,0.477292800955394,0.0716573297340184,0.207666927907269,0.0438683789675053,0.191286865679481,0.00822769675633163,1,1,1,1,1
