"","faixa_etaria","uf","idade","analfabeto","trabalha","carteira_assinada","responsavel","ensino_medio","ocupacao","salario","motivo_indisp_14","motivo_indisp","horas_trabalho","ano","setor_privado","setor_domestico","setor_publico","setor_empregador","setor_conta_propria","setor_auxiliar_familiar","motivo_dependente","motivo_estudo","motivo_pcd","motivo_idade","motivo_vontade"
"297","55 a 59 anos",53,57.8799778147532,0.0883143478817356,0.538401808950894,0.78931089051935,0.636895772003925,0.513451939075899,2.99108338405356,4524.77000912964,3.29204428993429,NA,40.4683810103469,2014,0.294415702982349,0.0842209373097992,0.256679853925746,0.0652312842361534,0.299452221545953,0,1,1,1,1,1
"298","60 a 64 anos",11,62.8473374364463,0.269333690125769,0.366849522790117,0.70351898032696,0.675965569529926,0.0979172241548479,3.88233952798997,1498.39130434783,3.69203721339096,NA,37.2171930224604,2014,0.160015961691939,0.0238855318663778,0.191483297229506,0.0335765591152662,0.580435526165774,0.0106031239311367,1,1,1,1,1
"299","60 a 64 anos",12,62.8975089850043,0.369004833312678,0.367145866898005,0.606786427145709,0.664642458792911,0.226917833684471,3.82401289282836,1822.68076602831,3.62918120254463,NA,40.3706688154714,2014,0.106849315068493,0.0865431103948429,0.226269137792103,0.0686543110394843,0.479452054794521,0.032232070910556,1,1,1,1,1
"300","60 a 64 anos",13,62.8231441048035,0.213973799126638,0.376394260761073,0.414930182599356,0.657342482844666,0.282832189644417,3.86386487646374,1812.39134054954,3.52782583013375,NA,40.4344920605726,2014,0.170375819998774,0.0291214517810067,0.192232235914414,0.0181472625835326,0.554778983508062,0.0353442462142113,1,1,1,1,1
"301","60 a 64 anos",14,62.7818742458775,0.24775439066899,0.458908700898244,0.421097046413502,0.62944094382625,0.336640300308352,3.53382634894549,2549.61962850014,3.7049356223176,NA,38.2807450013695,2014,0.142426732402082,0.060257463708573,0.325938099150918,0.0758696247603396,0.383456587236374,0.0120514927417146,1,NA,1,1,1
"302","60 a 64 anos",15,62.8532146445706,0.254822320657789,0.38590358660836,0.275179949251722,0.649971931711505,0.207257185717723,4.09950153982919,1461.14048234675,3.63224021920089,NA,38.8341535172662,2014,0.1213660560265,0.0371569779132404,0.143622143907885,0.0790974801832979,0.555978876295097,0.0627784656739795,1,1,1,1,1
"303","60 a 64 anos",16,62.5723298783236,0.15470289061997,0.535183158436876,0.329597343295973,0.707139638189661,0.317839438614563,3.53180902736643,2610.98460242993,3.21080090242527,NA,42.3229475180666,2014,0.130316313233029,0.0941831536547802,0.31702404928326,0.0454922402558939,0.397820163487738,0.015164080085298,1,1,1,1,NA
"304","60 a 64 anos",17,63.0406259557549,0.29060046895708,0.314710979712509,0.292874396135266,0.64310836986441,0.219619736976246,3.70089412432586,1577.23277646363,3.7003279750577,NA,34.6381634970196,2014,0.162219699120068,0.0334941810956571,0.248367868294068,0.0633692875390292,0.482188475730911,0.0103604882202668,1,NA,1,1,1
"305","60 a 64 anos",21,62.9436247880878,0.427797634980869,0.28601720491059,0.440755324861285,0.656557863189994,0.15332210132947,4.27566150451986,987.244484762853,3.6926388111099,NA,33.7605833560162,2014,0.103763448562383,0.0225778261679297,0.133232096041717,0.0159448734295088,0.683623913012335,0.0408578427861267,1,1,1,1,1
"306","60 a 64 anos",22,62.998664511821,0.407527121055229,0.302797750960487,0.292204742897394,0.609824547821122,0.138474640240775,4.04952849090375,1128.99023425798,3.72951181294023,NA,31.4867630165896,2014,0.139582721128416,0.0293591216306468,0.177677450378009,0.0569283787032832,0.488232308390992,0.108220019768653,1,NA,1,1,1
