ANO_ELEICAO,NR_TURNO,CD_MUNICIPIO,SG_UF,DS_CARGO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS
2022,2,2658,AM,Presidente,NÃO ELEITO,2673
2022,2,2674,AM,Presidente,ELEITO,6747
2022,2,2674,AM,Presidente,NÃO ELEITO,2105
2022,2,2690,AM,Presidente,ELEITO,41689
2022,2,2690,AM,Presidente,NÃO ELEITO,8809
2022,2,2712,AM,Presidente,ELEITO,4838
2022,2,2712,AM,Presidente,NÃO ELEITO,2237
2022,2,2739,AM,Presidente,ELEITO,8849
2022,2,2739,AM,Presidente,NÃO ELEITO,3150
2022,2,2755,AM,Presidente,ELEITO,11922
2022,2,2755,AM,Presidente,NÃO ELEITO,2231
2022,2,2771,AM,Presidente,ELEITO,4771
2022,2,2771,AM,Presidente,NÃO ELEITO,1081
2022,2,2798,AM,Presidente,ELEITO,4648
2022,2,2798,AM,Presidente,NÃO ELEITO,3967
2022,2,2810,AM,Presidente,ELEITO,20281
2022,2,2810,AM,Presidente,NÃO ELEITO,11300
2022,2,2836,AM,Presidente,ELEITO,17090
2022,2,2836,AM,Presidente,NÃO ELEITO,4103
2022,2,2852,AM,Presidente,ELEITO,6317
2022,2,2852,AM,Presidente,NÃO ELEITO,1908
2022,2,2879,AM,Presidente,ELEITO,7073
2022,2,2879,AM,Presidente,NÃO ELEITO,1836
2022,2,2895,AM,Presidente,ELEITO,5978
2022,2,2895,AM,Presidente,NÃO ELEITO,2102
2022,2,2917,AM,Presidente,ELEITO,3880
2022,2,2917,AM,Presidente,NÃO ELEITO,1182
2022,2,2933,AM,Presidente,ELEITO,3733
2022,2,2933,AM,Presidente,NÃO ELEITO,2051
2022,2,2950,AM,Presidente,ELEITO,5381
2022,2,2950,AM,Presidente,NÃO ELEITO,3158
2022,2,2976,AM,Presidente,ELEITO,7837
2022,2,2976,AM,Presidente,NÃO ELEITO,1072
2022,2,2992,AM,Presidente,ELEITO,3988
